player1,player2,pair_elo,matches_together
Loong T.,Smith S.,5.984668178103562,3
Cincola J.,Dow G.,5.942642032417538,3
Alda M.,Morrow T.,5.952854073892224,3
De La Rosa D.,French B.,6.241996851727788,3
Tardio G.,Vich J.,5.956641825850086,3
Deakin S.,Patriquin H.,5.962369511503025,3
Duong Q.,Khlif N.,6.247900542510018,3
Ignatowich J.,Johns B.,6.289824610639458,3
Beasley N.,Mccollin N.,5.9586184806197355,3
Bond G.,Jakovljevic I.,5.931847814950243,3
Lane B.,Mcmakin K.,5.906091123401727,3
Barrientos M.,Stone W.,5.906737217602446,3
Cassidy R.,Oncins E.,6.119485239167282,3
Heddings K.,Weinbach D.,6.030306916821134,3
Alhouni M.,Lee S.,6.093613325512931,3
Alshon C.,Patriquin H.,6.379513066189875,3
Jakovljevic I.,Smith S.,6.221729282206431,3
Alhouni M.,Lohani A.,6.090865015149036,3
Deakin S.,Taylor C.,6.0284296173716045,3
Estareja R.,Zwiren N.,5.989050999407972,3
Koszuta K.,Weinbach S.,5.980291050952535,3
Jensen D.,Zbinden R.,5.95593455323831,3
Payetta L.,Rahachou S.,5.877715378682855,3
Larsen L.,Miller T.,6.012247823942183,3
Alda M.,Nguyen H.,6.04092575492912,3
Hewett R.,Ignatowich J.,6.1801542453474605,3
Finley R.,Teoni P.,5.917369963452141,3
Donkena A.,Lohani A.,5.920128557453248,3
Khlif N.,Koller A.,6.266506992042317,3
Hewett R.,Wright M.,6.222385241812773,3
Campbell C.,Hammond B.,5.93522250507819,3
Cassidy R.,Estareja R.,5.937328980848419,3
Brown M.,Cassidy R.,6.275448086645094,3
Diamond C.,Whittaker R.,5.931001732583223,3
Bar D.,Johnson H.,6.281921890491973,3
Arnold J.,Johnson H.,6.241877749224776,3
Fought T.,Klinger C.,6.2287717203050486,3
Devilliers J.,Newell B.,6.228960473099856,3
Koller A.,Taylor C.,6.005197925376949,3
Smith P.,Wilson T.,6.247526451311218,3
Violette E.,Wazir A.,5.894418961672458,3
Chan M.,Huynh P.,5.88032209299468,3
Manthou M.,Mediratta N.,5.988292399652941,3
Oncins E.,Young D.,6.150462558425733,3
French B.,Young D.,6.026845299472928,3
Estareja R.,Palm D.,5.94802078702991,3
Wilson T.,Wright M.,6.269587579880764,3
Alda M.,Shekar K.,5.979857111359779,3
Deakin S.,Smith P.,6.066802630281456,3
Arnold J.,Dawson C.,6.232149020390739,3
Ignatowich J.,Tellez P.,6.223296434996824,3
Finley R.,Jensen D.,5.911433970443219,3
Gonzalez T.,Vanderwarf N.,5.907918708213542,3
Holder D.,Perez E.,5.913140841094509,3
Cassidy R.,Neumann A.,5.90981534927013,3
Alves S.,Khazaeli M.,5.983288153030797,3
Broker J.,Green M.,5.877616907743137,3
Tardio G.,Weinbach D.,5.967520269664261,3
Kim E.,Wasson L.,5.974180952972308,3
Duong Q.,Hovenier B.,6.116606298111716,3
Khlif N.,Slutsky R.,6.176824851813215,3
McGuffin T.,Patriquin H.,6.265934159935069,3
Goldberg J.,Howells W.,5.917492919586925,3
French B.,Smith S.,6.112563143771307,3
Emmrich M.,Loyd M.,6.141650377718634,3
Fu R.,Teoni P.,6.072934311360302,3
Jakovljevic I.,Loyd M.,6.116492984793302,2
Burrows W.,Emmrich M.,6.082898712394349,2
Black N.,Truong J.,6.171563467482129,2
Alhouni M.,Alvarez J.,6.038021545319417,2
Cassidy R.,Mcmakin K.,5.897161698301718,2
Grabovic Z.,Kawka P.,5.9097639339710195,2
Hall D.,Whitehead G.,6.004543314980042,2
Gingrich D.,Merchant A.,5.909999999999999,2
Bond G.,Seward K.,6.014435671416826,2
Hewett R.,Wilson T.,6.17112156914649,2
Deakin S.,Emmrich M.,6.115011004774174,2
Caulfield K.,Slattery J.,5.92228387722538,2
Brown M.,Burrows W.,6.126188020129812,2
Loyd M.,Smith S.,6.166742831829229,2
Oncins E.,Stone W.,6.054305871908585,2
French B.,Khlif N.,6.100142644213799,2
Cincola J.,Goldberg J.,5.915392584450503,2
Livornese R.,Tomassi T.,6.10072494813399,2
Diamond C.,Taylor C.,6.093342201050415,2
Ali R.,Fung M.,5.942618161576358,2
Nemoff C.,Weinbach D.,5.938760163523259,2
Bond G.,Jensen D.,5.889869228028178,2
Haworth C.,Holderman C.,5.844875329399093,2
Duong Q.,Stone W.,6.19804703634789,2
Johnson Y.,Khlif N.,6.121065444550058,2
Acob Z.,Blocker C.,5.884011231074932,2
Fu R.,Roddy E.,6.103924296073066,2
Goldin G.,Neumann A.,6.058261759667668,2
Andrews J.,Cassidy R.,5.990682454009929,2
Alshon C.,Taylor C.,6.156789893120195,2
Newcombe R.,Wasson L.,5.9368525479683285,2
Litvinov D.,Wade N.,5.958731826756036,2
Grollman J.,Navratil Z.,6.116588500497297,2
Arnold J.,Navratil Z.,6.139884756600403,2
Bar D.,Newman R.,6.208717113670571,2
Eveloff R.,Joseph G.,5.918350356261254,2
Grollman J.,Jensen D.,6.018813780960045,2
Camron R.,Palm D.,5.862733529201248,2
Fought T.,Kawka P.,6.1927810675768065,2
Bellamy R.,Burrows W.,6.0916155216906,2
Palm D.,Wasson L.,5.845412799882452,2
Grollman J.,Pailet E.,5.988204884244727,2
Querrey S.,Taylor Z.,5.8804589757875805,2
Auvergne S.,Long B.,6.185799806204025,2
Boyer D.,Whittaker R.,5.871591749709567,2
Fu R.,Hovenier B.,6.015674889286561,2
Bacalla D.,Rahachou S.,6.047788915933792,2
Braham A.,Ford Z.,5.916474135088723,2
Alvarez J.,Beasley N.,6.022344508486383,2
Blaszkewycz E.,Goldin G.,6.1399761219270035,2
Tamaki K.,Taylor C.,6.035804229980129,2
Duong Q.,Loyd M.,6.265161173617735,2
Fought T.,Taylor C.,6.183037808173579,2
Locklear P.,Smith P.,6.088149877774766,2
Jakovljevic I.,Nemoff C.,6.04710879453579,2
Loong T.,Patriquin H.,6.147484321283729,2
Newell B.,Tamaki K.,6.07597690043663,2
Black N.,Rosenbach L.,5.932538629539626,2
Barrientos M.,Farias J.,6.032173605544545,2
Angelo S.,Nemoff C.,5.9907827672480884,2
Black N.,Pailet E.,6.001125398947124,2
French B.,Newman R.,6.142286089829115,2
Koller A.,Smith S.,6.114334763253077,2
Narayanan S.,Zwiren N.,5.913358853668533,2
Beasley N.,Duong Q.,5.873057192148594,2
Farias J.,Irizarry E.,6.0275596338920066,2
Morrow T.,Shearer D.,6.016824621703192,2
Alhouni M.,Dayan K.,6.132738674530025,2
Litvinov D.,Losbergs M.,6.0942920618774945,2
Black N.,Payetta L.,5.989696150375367,2
Kheireddin B.,Mok J.,6.000930522567708,2
Bellamy R.,Young D.,6.108064036787162,2
Hong T.,Powell C.,5.980598189653102,2
Pailet E.,Palm D.,5.908124158129452,2
Brown M.,Young D.,6.032570477887341,2
Grollman J.,Joseph G.,5.962505498461237,2
Khlif N.,Loong T.,6.252896821806485,2
Arnold J.,French B.,6.157817392293391,2
Ford Z.,Trinh T.,6.022834852371029,2
Loyd M.,Stone W.,6.088841302414995,2
Deakin S.,Lange E.,6.098093763752935,2
Alshon C.,Emmrich M.,6.140297680246939,2
Estareja R.,Kawka P.,6.066746964117335,2
Koller A.,Patriquin H.,6.1366791535311265,2
Bacalla D.,Wild M.,5.907175192112351,2
Bellamy R.,Jakovljevic I.,6.153639927444355,2
Lohani A.,Taylor C.,6.155517889199519,2
Joseph G.,Young D.,6.065536412057226,2
Locklear P.,Slutsky R.,6.064167677819698,2
Yeh M.,Yi I.,6.023822625169459,2
Bies P.,Jensen D.,5.9933014077808275,2
Hammond B.,Whittaker R.,5.8943003419785525,2
Roddy E.,Shick C.,6.079629008598938,2
Fought T.,Hewett R.,6.051615217025681,2
Duong Q.,Loong T.,6.05765899832397,2
Parks Z.,Reason J.,6.031140635754209,2
Estareja R.,Kellogg C.,5.9564199651278305,2
Beasley N.,Payetta L.,5.9068880768656316,2
Lohani A.,Venkatesan M.,6.058379308384707,2
Alshon C.,Yates K.,6.105529056496443,2
Forsythe E.,Lui J.,5.854312109395648,2
Laidlaw R.,Marceau Z.,5.938994594631124,2
Tamaki K.,Whittaker R.,6.0164044675375035,2
Mediratta N.,Weinbach D.,6.00996629145867,2
Bridge J.,Huynh A.,5.864060550793882,2
Navratil Z.,Newman R.,6.23593510283872,2
A Gonzales Jr R.,Wild M.,5.867212157940189,2
Andrews J.,Brown M.,6.055787666458583,2
Fu R.,Goldberg J.,5.777443816849987,2
Alvarez J.,Irizarry E.,5.96164740963396,2
Hutchins R.,Pailet E.,5.937508592375051,2
Hammond B.,Haworth C.,5.9272337454038295,2
Ge A.,Jensen D.,5.926970523706168,2
Baca M.,Vance J.,5.85100770853808,2
Marceau M.,Mcauley D.,5.94153251628444,2
Barrientos M.,Lane B.,5.930509195533203,2
Lui J.,Yaraghi A.,5.866802064664814,2
Seward K.,Venkatesan M.,5.876102633627882,2
Hewett R.,Smith P.,5.960083976341623,2
Read A.,Venkatesan M.,5.8721186610018545,2
Hammond B.,Nix J.,5.988846857127532,2
Bellamy R.,Munro J.,6.140283306408287,2
Merchant A.,Roddy E.,6.043664988373423,2
Farias J.,Nsekpong B.,6.049869180466802,2
Arnold J.,Sock J.,6.066258087556081,2
Duong Q.,Patrick C.,6.016310893768226,2
Harris J.,Jones H.,5.894103781429205,2
Jakovljevic I.,Trinh T.,5.894654508669449,2
Castleberry C.,Mullane T.,5.935220136161127,2
Bass S.,Halski L.,5.9740799530153055,2
Haworth C.,Rahachou S.,5.9325904344443465,2
Diefenbach D.,Gilbert R.,5.862914956827874,2
Garza N.,Ortega K.,5.913601097244642,2
Nemoff C.,Taylor Z.,5.855177939266184,2
