player1,player2,pair_elo,matches_together
Alda M.,Boyer D.,5.9235229184310105,3
Loong T.,Vich J.,6.267344919084814,3
Duong Q.,Taylor C.,6.260977821089466,3
Barrientos M.,Stone W.,5.909128371527452,3
Deakin S.,Patriquin H.,5.960870547504927,3
Hickman B.,Jauschneg E.,5.89788062404644,3
Finley R.,Teoni P.,5.916378719039798,3
Manthou M.,Mediratta N.,5.988074863982549,3
Ignatowich J.,Tellez P.,6.222382839611123,3
Alda M.,Nguyen H.,6.039934659925332,3
Kim E.,Wasson L.,5.915485357580459,3
Khlif N.,Koller A.,6.257716348628987,3
Gonzalez I.,Smosna R.,5.888333733180605,3
Irizarry E.,Sobek W.,5.988302113793792,3
Brautman C.,LaMacchio A.,5.991679003972487,3
Heddings K.,Weinbach D.,6.030598936544723,3
Alhouni M.,Lee S.,6.0932151634974066,3
Cassidy R.,Oncins E.,6.118298366717505,3
Brown M.,Whittaker R.,6.063543422772118,3
Chan M.,Huynh P.,5.8816427310183,3
French B.,Young D.,5.999043344286635,3
Payetta L.,Rahachou S.,5.876269094316332,3
Hewett R.,Ignatowich J.,6.178323168604848,3
Shearer D.,Venkatesan M.,5.831816193730864,3
Daescu A.,Frazier D.,6.233667981123204,3
McNulty J.,Roddy E.,6.046338762855652,3
Violette E.,Wazir A.,5.8936765326880565,3
Bond G.,Jakovljevic I.,5.9784251481034065,3
Angelo S.,Finley R.,6.0087994413141965,3
Tellez P.,Vich J.,6.30599466816016,3
Goldberg J.,Howells W.,5.9169942692114015,3
Koller A.,Taylor C.,6.003855897872789,3
Diamond C.,Whittaker R.,5.9313955250319665,3
Devilliers J.,Newell B.,6.233303234899491,3
Cassidy R.,Neumann A.,5.91000420452853,3
French B.,Smith S.,6.114463031572523,3
Bar D.,Ignatowich J.,6.2966854122036455,3
Davis F.,Livornese R.,5.934632558802595,3
Holder D.,Perez E.,5.932999413451874,3
Ge A.,Loyd M.,5.958353003868039,3
Donkena A.,Lohani A.,5.919676109752948,3
Johnson C.,Marsh J.,5.924574673889135,3
Goldberg J.,Neumann A.,5.938052156080314,3
Newell B.,Taylor Z.,5.936883925158306,3
Jensen D.,Zbinden R.,5.954873250098998,3
Ignatowich J.,Johns B.,6.290316390960467,3
Goldin G.,Haworth C.,6.1631565467277,3
Duong Q.,Khlif N.,6.245628918413444,3
Koszuta K.,Weinbach S.,5.980353218264986,3
Alves S.,Khazaeli M.,5.982746490835293,3
Beasley N.,Mccollin N.,5.923352236170041,3
Tardio G.,Vich J.,5.955715617173514,3
Kusmider J.,Neumann A.,5.943673300651813,3
Forsythe E.,Jenkins J.,5.956746955648783,3
Campbell C.,Hammond B.,5.936966661244991,3
Harvey A.,Reyes R.,5.935438567486169,3
Brown M.,Cassidy R.,6.276847341885314,3
Smith P.,Wilson T.,6.245489235378848,3
Navratil Z.,Smith S.,6.041339507874742,3
Andrews J.,Jakovljevic I.,5.960840327069383,3
Loong T.,Smith S.,5.984843200793669,3
Lane B.,McNulty J.,5.942371060477317,3
Walker A.,Walker J.,5.883554659406981,3
Estareja R.,Zwiren N.,5.975358937041983,3
McGuffin T.,Patriquin H.,6.260769290509046,3
Beasley N.,Whittaker R.,5.984532114511374,3
Cassidy R.,Estareja R.,5.937063192799311,3
Hewett R.,Wright M.,6.225977626232109,3
Hewett R.,Oncins E.,6.114432500693769,3
Bar D.,Patriquin H.,6.354016070711387,3
Staksrud F.,Tardio G.,6.362387027741737,3
Deakin S.,Taylor C.,6.029455981757213,3
Arnold J.,Dawson C.,6.231735808551625,3
